min_alignment_ratio,min_momentum_ratio,min_filter_score,min_signal_score,min_zscore,min_price_filter,TP,FP,FN,TN,Precision,Recall,F1,Accuracy,Profit_Score,Expected_Gain_USD,FP_Cost_USD,FN_Cost_USD,Signals_Per_Run,Signal_Rate_Pct
0.5,0.4,1,3,0.0,2.0,45,0,386,9215,1.0,0.1044,0.1891,0.96,-794.2,1135.8,0.0,1930.0,0.37,0.47
0.5,0.4,1,3,0.0,5.0,45,0,386,9215,1.0,0.1044,0.1891,0.96,-794.2,1135.8,0.0,1930.0,0.37,0.47
0.5,0.4,1,3,0.0,10.0,41,0,390,9215,1.0,0.0951,0.1737,0.9596,-915.16,1034.84,0.0,1950.0,0.34,0.43
0.5,0.4,1,3,1.0,2.0,34,0,397,9215,1.0,0.0789,0.1462,0.9588,-1126.84,858.16,0.0,1985.0,0.28,0.35
0.5,0.4,1,3,1.0,5.0,34,0,397,9215,1.0,0.0789,0.1462,0.9588,-1126.84,858.16,0.0,1985.0,0.28,0.35
0.5,0.4,1,3,1.0,10.0,30,0,401,9215,1.0,0.0696,0.1302,0.9584,-1247.8,757.2,0.0,2005.0,0.25,0.31
0.5,0.4,1,3,1.5,2.0,34,0,397,9215,1.0,0.0789,0.1462,0.9588,-1126.84,858.16,0.0,1985.0,0.28,0.35
0.5,0.4,1,3,1.5,5.0,34,0,397,9215,1.0,0.0789,0.1462,0.9588,-1126.84,858.16,0.0,1985.0,0.28,0.35
0.5,0.4,1,3,1.5,10.0,30,0,401,9215,1.0,0.0696,0.1302,0.9584,-1247.8,757.2,0.0,2005.0,0.25,0.31
0.5,0.4,1,3,2.0,2.0,23,0,408,9215,1.0,0.0534,0.1013,0.9577,-1459.48,580.52,0.0,2040.0,0.19,0.24
0.5,0.4,1,3,2.0,5.0,23,0,408,9215,1.0,0.0534,0.1013,0.9577,-1459.48,580.52,0.0,2040.0,0.19,0.24
0.5,0.4,1,3,2.0,10.0,20,0,411,9215,1.0,0.0464,0.0887,0.9574,-1550.2,504.8,0.0,2055.0,0.17,0.21
0.5,0.4,2,1,0.0,2.0,107,548,324,8667,0.1634,0.2483,0.1971,0.9096,-7139.32,2700.68,8220.0,1620.0,5.41,6.79
0.5,0.4,2,1,0.0,5.0,104,542,327,8673,0.161,0.2413,0.1931,0.9099,-7140.04,2624.96,8130.0,1635.0,5.34,6.7
0.5,0.4,2,1,0.0,10.0,97,503,334,8712,0.1617,0.2251,0.1882,0.9132,-6766.72,2448.28,7545.0,1670.0,4.96,6.22
0.5,0.4,2,1,1.0,2.0,61,2,370,9213,0.9683,0.1415,0.247,0.9614,-340.36,1539.64,30.0,1850.0,0.52,0.65
0.5,0.4,2,1,1.0,5.0,58,2,373,9213,0.9667,0.1346,0.2363,0.9611,-431.08,1463.92,30.0,1865.0,0.5,0.62
0.5,0.4,2,1,1.0,10.0,53,2,378,9213,0.9636,0.123,0.2181,0.9606,-582.28,1337.72,30.0,1890.0,0.45,0.57
0.5,0.4,2,1,1.5,2.0,61,2,370,9213,0.9683,0.1415,0.247,0.9614,-340.36,1539.64,30.0,1850.0,0.52,0.65
0.5,0.4,2,1,1.5,5.0,58,2,373,9213,0.9667,0.1346,0.2363,0.9611,-431.08,1463.92,30.0,1865.0,0.5,0.62
0.5,0.4,2,1,1.5,10.0,53,2,378,9213,0.9636,0.123,0.2181,0.9606,-582.28,1337.72,30.0,1890.0,0.45,0.57
0.5,0.4,2,1,2.0,2.0,42,1,389,9214,0.9767,0.0974,0.1772,0.9596,-899.92,1060.08,15.0,1945.0,0.36,0.45
0.5,0.4,2,1,2.0,5.0,40,1,391,9214,0.9756,0.0928,0.1695,0.9594,-960.4,1009.6,15.0,1955.0,0.34,0.43
0.5,0.4,2,1,2.0,10.0,39,1,392,9214,0.975,0.0905,0.1656,0.9593,-990.64,984.36,15.0,1960.0,0.33,0.41
0.5,0.4,2,2,0.0,2.0,107,0,324,9215,1.0,0.2483,0.3978,0.9664,1080.68,2700.68,0.0,1620.0,0.88,1.11
0.5,0.4,2,2,0.0,5.0,104,0,327,9215,1.0,0.2413,0.3888,0.9661,989.96,2624.96,0.0,1635.0,0.86,1.08
0.5,0.4,2,2,0.0,10.0,97,0,334,9215,1.0,0.2251,0.3674,0.9654,778.28,2448.28,0.0,1670.0,0.8,1.01
0.5,0.4,2,2,1.0,2.0,61,0,370,9215,1.0,0.1415,0.248,0.9616,-310.36,1539.64,0.0,1850.0,0.5,0.63
0.5,0.4,2,2,1.0,5.0,58,0,373,9215,1.0,0.1346,0.2372,0.9613,-401.08,1463.92,0.0,1865.0,0.48,0.6
0.5,0.4,2,2,1.0,10.0,53,0,378,9215,1.0,0.123,0.219,0.9608,-552.28,1337.72,0.0,1890.0,0.44,0.55
0.5,0.4,2,2,1.5,2.0,61,0,370,9215,1.0,0.1415,0.248,0.9616,-310.36,1539.64,0.0,1850.0,0.5,0.63
0.5,0.4,2,2,1.5,5.0,58,0,373,9215,1.0,0.1346,0.2372,0.9613,-401.08,1463.92,0.0,1865.0,0.48,0.6
0.5,0.4,2,2,1.5,10.0,53,0,378,9215,1.0,0.123,0.219,0.9608,-552.28,1337.72,0.0,1890.0,0.44,0.55
0.5,0.4,2,2,2.0,2.0,42,0,389,9215,1.0,0.0974,0.1776,0.9597,-884.92,1060.08,0.0,1945.0,0.35,0.44
0.5,0.4,2,2,2.0,5.0,40,0,391,9215,1.0,0.0928,0.1699,0.9595,-945.4,1009.6,0.0,1955.0,0.33,0.41
0.5,0.4,2,2,2.0,10.0,39,0,392,9215,1.0,0.0905,0.166,0.9594,-975.64,984.36,0.0,1960.0,0.32,0.4
0.5,0.4,2,3,0.0,2.0,24,0,407,9215,1.0,0.0557,0.1055,0.9578,-1429.24,605.76,0.0,2035.0,0.2,0.25
0.5,0.4,2,3,0.0,5.0,24,0,407,9215,1.0,0.0557,0.1055,0.9578,-1429.24,605.76,0.0,2035.0,0.2,0.25
0.5,0.4,2,3,0.0,10.0,23,0,408,9215,1.0,0.0534,0.1013,0.9577,-1459.48,580.52,0.0,2040.0,0.19,0.24
0.5,0.4,2,3,1.0,2.0,20,0,411,9215,1.0,0.0464,0.0887,0.9574,-1550.2,504.8,0.0,2055.0,0.17,0.21
0.5,0.4,2,3,1.0,5.0,20,0,411,9215,1.0,0.0464,0.0887,0.9574,-1550.2,504.8,0.0,2055.0,0.17,0.21
0.5,0.4,2,3,1.0,10.0,19,0,412,9215,1.0,0.0441,0.0844,0.9573,-1580.44,479.56,0.0,2060.0,0.16,0.2
0.5,0.4,2,3,1.5,2.0,20,0,411,9215,1.0,0.0464,0.0887,0.9574,-1550.2,504.8,0.0,2055.0,0.17,0.21
0.5,0.4,2,3,1.5,5.0,20,0,411,9215,1.0,0.0464,0.0887,0.9574,-1550.2,504.8,0.0,2055.0,0.17,0.21
0.5,0.4,2,3,1.5,10.0,19,0,412,9215,1.0,0.0441,0.0844,0.9573,-1580.44,479.56,0.0,2060.0,0.16,0.2
0.5,0.4,2,3,2.0,2.0,12,0,419,9215,1.0,0.0278,0.0542,0.9566,-1792.12,302.88,0.0,2095.0,0.1,0.12
0.5,0.4,2,3,2.0,5.0,12,0,419,9215,1.0,0.0278,0.0542,0.9566,-1792.12,302.88,0.0,2095.0,0.1,0.12
0.5,0.4,2,3,2.0,10.0,12,0,419,9215,1.0,0.0278,0.0542,0.9566,-1792.12,302.88,0.0,2095.0,0.1,0.12
0.5,0.4,3,1,0.0,2.0,9,89,422,9126,0.0918,0.0209,0.034,0.947,-3217.84,227.16,1335.0,2110.0,0.81,1.02
0.5,0.4,3,1,0.0,5.0,9,89,422,9126,0.0918,0.0209,0.034,0.947,-3217.84,227.16,1335.0,2110.0,0.81,1.02
0.5,0.4,3,1,0.0,10.0,6,77,425,9138,0.0723,0.0139,0.0233,0.948,-3128.56,151.44,1155.0,2125.0,0.69,0.86
0.5,0.4,3,1,1.0,2.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.5,0.4,3,1,1.0,5.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.5,0.4,3,1,1.0,10.0,3,0,428,9215,1.0,0.007,0.0138,0.9556,-2064.28,75.72,0.0,2140.0,0.02,0.03
0.5,0.4,3,1,1.5,2.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.5,0.4,3,1,1.5,5.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.5,0.4,3,1,1.5,10.0,3,0,428,9215,1.0,0.007,0.0138,0.9556,-2064.28,75.72,0.0,2140.0,0.02,0.03
0.5,0.4,3,1,2.0,2.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.5,0.4,3,1,2.0,5.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.5,0.4,3,1,2.0,10.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.5,0.4,3,2,0.0,2.0,9,0,422,9215,1.0,0.0209,0.0409,0.9563,-1882.84,227.16,0.0,2110.0,0.07,0.09
0.5,0.4,3,2,0.0,5.0,9,0,422,9215,1.0,0.0209,0.0409,0.9563,-1882.84,227.16,0.0,2110.0,0.07,0.09
0.5,0.4,3,2,0.0,10.0,6,0,425,9215,1.0,0.0139,0.0275,0.9559,-1973.56,151.44,0.0,2125.0,0.05,0.06
0.5,0.4,3,2,1.0,2.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.5,0.4,3,2,1.0,5.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.5,0.4,3,2,1.0,10.0,3,0,428,9215,1.0,0.007,0.0138,0.9556,-2064.28,75.72,0.0,2140.0,0.02,0.03
0.5,0.4,3,2,1.5,2.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.5,0.4,3,2,1.5,5.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.5,0.4,3,2,1.5,10.0,3,0,428,9215,1.0,0.007,0.0138,0.9556,-2064.28,75.72,0.0,2140.0,0.02,0.03
0.5,0.4,3,2,2.0,2.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.5,0.4,3,2,2.0,5.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.5,0.4,3,2,2.0,10.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.5,0.4,3,3,0.0,2.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.5,0.4,3,3,0.0,5.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.5,0.4,3,3,0.0,10.0,3,0,428,9215,1.0,0.007,0.0138,0.9556,-2064.28,75.72,0.0,2140.0,0.02,0.03
0.5,0.4,3,3,1.0,2.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.5,0.4,3,3,1.0,5.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.5,0.4,3,3,1.0,10.0,3,0,428,9215,1.0,0.007,0.0138,0.9556,-2064.28,75.72,0.0,2140.0,0.02,0.03
0.5,0.4,3,3,1.5,2.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.5,0.4,3,3,1.5,5.0,4,0,427,9215,1.0,0.0093,0.0184,0.9557,-2034.04,100.96,0.0,2135.0,0.03,0.04
0.5,0.4,3,3,1.5,10.0,3,0,428,9215,1.0,0.007,0.0138,0.9556,-2064.28,75.72,0.0,2140.0,0.02,0.03
0.5,0.4,3,3,2.0,2.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.5,0.4,3,3,2.0,5.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.5,0.4,3,3,2.0,10.0,2,0,429,9215,1.0,0.0046,0.0092,0.9555,-2094.52,50.48,0.0,2145.0,0.02,0.02
0.5,0.5,0,1,0.0,2.0,343,1986,88,7229,0.1473,0.7958,0.2486,0.785,-21572.68,8657.32,29790.0,440.0,19.25,24.14
0.5,0.5,0,1,0.0,5.0,336,1959,95,7256,0.1464,0.7796,0.2465,0.7871,-21379.36,8480.64,29385.0,475.0,18.97,23.79
0.5,0.5,0,1,0.0,10.0,323,1892,108,7323,0.1458,0.7494,0.2441,0.7927,-20767.48,8152.52,28380.0,540.0,18.31,22.96
0.5,0.5,0,1,1.0,2.0,206,128,225,9087,0.6168,0.478,0.5386,0.9634,2154.44,5199.44,1920.0,1125.0,2.76,3.46
0.5,0.5,0,1,1.0,5.0,200,120,231,9095,0.625,0.464,0.5326,0.9636,2093.0,5048.0,1800.0,1155.0,2.64,3.32
0.5,0.5,0,1,1.0,10.0,190,113,241,9102,0.6271,0.4408,0.5177,0.9633,1895.6,4795.6,1695.0,1205.0,2.5,3.14
0.5,0.5,0,1,1.5,2.0,206,128,225,9087,0.6168,0.478,0.5386,0.9634,2154.44,5199.44,1920.0,1125.0,2.76,3.46
0.5,0.5,0,1,1.5,5.0,200,120,231,9095,0.625,0.464,0.5326,0.9636,2093.0,5048.0,1800.0,1155.0,2.64,3.32
0.5,0.5,0,1,1.5,10.0,190,113,241,9102,0.6271,0.4408,0.5177,0.9633,1895.6,4795.6,1695.0,1205.0,2.5,3.14
0.5,0.5,0,1,2.0,2.0,152,98,279,9117,0.608,0.3527,0.4464,0.9609,971.48,3836.48,1470.0,1395.0,2.07,2.59
0.5,0.5,0,1,2.0,5.0,147,91,284,9124,0.6176,0.3411,0.4395,0.9611,925.28,3710.28,1365.0,1420.0,1.97,2.47
0.5,0.5,0,1,2.0,10.0,142,87,289,9128,0.6201,0.3295,0.4303,0.961,834.08,3584.08,1305.0,1445.0,1.89,2.37
0.5,0.5,0,2,0.0,2.0,343,35,88,9180,0.9074,0.7958,0.848,0.9872,7692.32,8657.32,525.0,440.0,3.12,3.92
0.5,0.5,0,2,0.0,5.0,336,32,95,9183,0.913,0.7796,0.8411,0.9868,7525.64,8480.64,480.0,475.0,3.04,3.82
0.5,0.5,0,2,0.0,10.0,323,29,108,9186,0.9176,0.7494,0.825,0.9858,7177.52,8152.52,435.0,540.0,2.91,3.65
0.5,0.5,0,2,1.0,2.0,206,26,225,9189,0.8879,0.478,0.6214,0.974,3684.44,5199.44,390.0,1125.0,1.92,2.41
0.5,0.5,0,2,1.0,5.0,200,23,231,9192,0.8969,0.464,0.6116,0.9737,3548.0,5048.0,345.0,1155.0,1.84,2.31
0.5,0.5,0,2,1.0,10.0,190,20,241,9195,0.9048,0.4408,0.5928,0.9729,3290.6,4795.6,300.0,1205.0,1.74,2.18
0.5,0.5,0,2,1.5,2.0,206,26,225,9189,0.8879,0.478,0.6214,0.974,3684.44,5199.44,390.0,1125.0,1.92,2.41
0.5,0.5,0,2,1.5,5.0,200,23,231,9192,0.8969,0.464,0.6116,0.9737,3548.0,5048.0,345.0,1155.0,1.84,2.31
0.5,0.5,0,2,1.5,10.0,190,20,241,9195,0.9048,0.4408,0.5928,0.9729,3290.6,4795.6,300.0,1205.0,1.74,2.18
0.5,0.5,0,2,2.0,2.0,152,22,279,9193,0.8736,0.3527,0.5025,0.9688,2111.48,3836.48,330.0,1395.0,1.44,1.8
0.5,0.5,0,2,2.0,5.0,147,19,284,9196,0.8855,0.3411,0.4925,0.9686,2005.28,3710.28,285.0,1420.0,1.37,1.72
0.5,0.5,0,2,2.0,10.0,142,17,289,9198,0.8931,0.3295,0.4814,0.9683,1884.08,3584.08,255.0,1445.0,1.31,1.65
0.5,0.5,0,3,0.0,2.0,45,5,386,9210,0.9,0.1044,0.1871,0.9595,-869.2,1135.8,75.0,1930.0,0.41,0.52
0.5,0.5,0,3,0.0,5.0,45,5,386,9210,0.9,0.1044,0.1871,0.9595,-869.2,1135.8,75.0,1930.0,0.41,0.52
0.5,0.5,0,3,0.0,10.0,41,5,390,9210,0.8913,0.0951,0.1719,0.9591,-990.16,1034.84,75.0,1950.0,0.38,0.48
0.5,0.5,0,3,1.0,2.0,34,5,397,9210,0.8718,0.0789,0.1447,0.9583,-1201.84,858.16,75.0,1985.0,0.32,0.4
0.5,0.5,0,3,1.0,5.0,34,5,397,9210,0.8718,0.0789,0.1447,0.9583,-1201.84,858.16,75.0,1985.0,0.32,0.4
0.5,0.5,0,3,1.0,10.0,30,5,401,9210,0.8571,0.0696,0.1288,0.9579,-1322.8,757.2,75.0,2005.0,0.29,0.36
0.5,0.5,0,3,1.5,2.0,34,5,397,9210,0.8718,0.0789,0.1447,0.9583,-1201.84,858.16,75.0,1985.0,0.32,0.4
0.5,0.5,0,3,1.5,5.0,34,5,397,9210,0.8718,0.0789,0.1447,0.9583,-1201.84,858.16,75.0,1985.0,0.32,0.4
0.5,0.5,0,3,1.5,10.0,30,5,401,9210,0.8571,0.0696,0.1288,0.9579,-1322.8,757.2,75.0,2005.0,0.29,0.36
0.5,0.5,0,3,2.0,2.0,23,5,408,9210,0.8214,0.0534,0.1002,0.9572,-1534.48,580.52,75.0,2040.0,0.23,0.29
0.5,0.5,0,3,2.0,5.0,23,5,408,9210,0.8214,0.0534,0.1002,0.9572,-1534.48,580.52,75.0,2040.0,0.23,0.29
0.5,0.5,0,3,2.0,10.0,20,5,411,9210,0.8,0.0464,0.0877,0.9569,-1625.2,504.8,75.0,2055.0,0.21,0.26
