Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
FITBI,Fifth Third Bancorp Depositary Shares,25.93,0.08,0.309,17140035170.0,United States,,13302,Finance,Major Banks
AFRM,Affirm Holdings Inc. Class A Common Stock,51.09,-0.73,-1.409,17018623160.0,United States,2021.0,4810983,Finance,Finance: Consumer Services
BPYPP,Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,16.34,-0.03,-0.183,16986744553.0,Bermuda,,17888,Finance,Real Estate
BPYPM,Brookfield Property Partners L.P. 6.25% Class A Cumulative Redeemable Preferred Units Series 1,16.325,0.045,0.276,16971150846.0,Bermuda,,25910,Finance,Real Estate
TPG,TPG Inc. Class A Common Stock,44.51,-0.07,-0.157,16827910299.0,United States,2022.0,11964032,Finance,Investment Managers
EWBC,East West Bancorp Inc. Common Stock,121.31,1.45,1.21,16690509621.0,United States,,721183,Finance,Major Banks
FITBP,Fifth Third Bancorp Depositary Shares each representing 1/40th share of Fifth Third 6.00% Non-Cumulative Perpetual Class B Preferred Stock Series A,24.79,0.02,0.081,16386481754.0,United States,,2055,Finance,Major Banks
BPYPO,Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2,15.26,-0.04,-0.261,15863997667.0,Bermuda,,25167,Finance,Real Estate
SLMBP,SLM Corporation Floating Rate Non-Cumulative Preferred Stock Series B,75.4,-0.25,-0.33,15309114135.0,United States,,4906,Finance,Finance: Consumer Services
VLYPN,Valley National Bancorp 8.250% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series C,26.31,0.01,0.038,14671391531.0,United States,,9335,Finance,Major Banks
BPYPN,Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units Series 3,14.03,0.0485,0.347,14585313714.0,Bermuda,,19425,Finance,Real Estate
VLYPP,Valley National Bancorp 6.25% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,25.49,0.07,0.275,14214130373.0,United States,,2288,Finance,Major Banks
VLYPO,Valley National Bancorp 5.50% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series B,25.05,-0.05,-0.199,13968770728.0,United States,,2805,Finance,Major Banks
ARCC,Ares Capital Corporation Common Stock,19.15,0.2,1.055,13750137482.0,United States,2004.0,10801689,Finance,Finance: Consumer Services
FITBO,Fifth Third Bancorp Depositary Shares each representing a 1/1000th ownership interest in a share of Non-Cumulative Perpetual Preferred Stock Series K,20.02,0.04,0.2,13233455615.0,United States,,12259,Finance,Major Banks
ERIE,Erie Indemnity Company Class A Common Stock,273.04,-1.59,-0.579,12612157194.0,United States,,198635,Finance,Specialty Insurers
XP,XP Inc. Class A Common Stock,22.95,1.47,6.844,12333867512.0,Brazil,2019.0,12593956,Finance,Investment Bankers/Brokers/Service
WTFC,Wintrust Financial Corporation Common Stock,156.3,2.81,1.831,10467591995.0,United States,,361417,Finance,Major Banks
SEIC,SEI Investments Company Common Stock,81.39,0.82,1.018,9965343580.0,United States,1981.0,574516,Finance,Investment Bankers/Brokers/Service
ONB,Old National Bancorp Common Stock,25.2,0.31,1.245,9847479600.0,United States,,2958785,Finance,Major Banks
ONBPO,Old National Bancorp Depositary Shares Each Representing a 1/40th Interest in a Share of Series C Preferred Stock,25.2,0.021,0.083,9847479600.0,United States,,6224,Finance,Major Banks
BPOP,Popular Inc. Common Stock,147.56,3.71,2.579,9838541604.0,United States,,528887,Finance,Major Banks
ONBPP,Old National Bancorp Depositary Shares Each Representing a 1/40th Interest in a Share of Series A Preferred Stock,25.14,0.0151,0.06,9824033220.0,United States,,7657,Finance,Major Banks
UMBF,UMB Financial Corporation Common Stock,126.85,0.73,0.579,9634848621.0,United States,,505528,Finance,Major Banks
COLB,Columbia Banking System Inc. Common Stock,31.76,0.57,1.828,9500082198.0,United States,1992.0,3073179,Finance,Major Banks
ZION,Zions Bancorporation N.A. Common Stock,62.5,1.02,1.659,9227564625.0,United States,,2372051,Finance,Major Banks
GLXY,Galaxy Digital Inc. Class A Common Stock,21.2,-0.43,-1.988,8280938996.0,United States,,3928919,Finance,Investment Bankers/Brokers/Service
BOKF,BOK Financial Corporation Common Stock,134.09,0.58,0.434,8138819833.0,United States,,293507,Finance,Major Banks
APLD,Applied Digital Corporation Common Stock,29.04,-2.49,-7.897,8119172300.0,United States,2022.0,23797513,Finance,Finance: Consumer Services
GGAL,Grupo Financiero Galicia S.A. American Depositary Shares,49.64,2.0,4.198,7973443516.0,Argentina,,1050712,Finance,Commercial Banks
