symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric,composite_score
TATT,36.29,2,False,False,0.214226,False,Varsayılan,2026-05-08 17:45,False,False,False,False,0,0.72,1.2,1,0.53,1.88,neutral,1.8,1.5,1.4,2.07,low_liquidity,3,60,0.69,False,0.33,True,0.83,False,False,35.75,37.68,1000,2.6,1.48,0.5,0.0,0.0,24
MBUU,30.09,3,True,True,0.522568,True,Varsayılan,2026-05-08 18:00,True,True,True,False,2,2.63,20.36,1,5.03,18.46,bullish,1.8,1.5,1.6,1.93,mid_liquidity,3,60,-9.79,True,1.0,True,0.5,False,True,29.31,32.7,1000,3.33,2.61,0.5,0.0,0.0,77
ASPI,5.3884,2,False,True,0.061121,False,Varsayılan,2026-05-08 18:00,True,False,False,False,0,0.48,5.04,3,0.55,5.04,neutral,2.08,1.5,2.0,2.14,high_liquidity,3,60,-16.76,False,0.67,True,0.83,False,False,5.3,5.69,1000,3.33,1.7,0.5,0.0,0.0,38
CTKB,4.365,2,False,False,0.060612,False,Varsayılan,2026-05-08 18:00,False,False,False,False,0,1.28,-8.68,1,-4.01,-11.28,bearish,1.93,1.5,1.6,2.15,mid_liquidity,3,60,0.96,False,0.0,False,0.33,False,False,4.21,4.76,1000,2.6,3.47,0.5,0.0,0.0,15
CMCO,15.85,2,False,False,0.071633,False,Varsayılan,2026-05-08 18:00,False,False,False,False,0,0.32,3.46,3,0.86,3.46,neutral,1.85,1.5,1.4,2.15,low_liquidity,3,60,-7.85,False,0.67,True,0.83,False,False,15.67,16.32,1000,2.6,1.13,0.5,0.0,0.0,27
SWBI,14.48,1,True,True,0.048686,False,Varsayılan,2026-05-08 18:00,True,False,False,True,1,0.32,-4.67,5,-1.71,-7.0,neutral,2.4,1.5,1.6,2.93,mid_liquidity,3,60,21.42,False,0.33,False,0.17,False,False,14.36,14.8,1000,2.6,0.84,0.5,0.0,0.0,44
ASTL,5.15,2,True,True,0.034281,True,Varsayılan,2026-05-08 18:00,True,False,False,False,0,0.4,5.97,3,0.78,5.97,neutral,2.06,1.5,1.6,2.37,mid_liquidity,3,60,-4.55,True,1.0,True,0.67,False,True,5.1,5.32,1000,3.33,1.0,0.5,0.0,0.0,51
MLAB,104.0,2,True,True,0.950157,False,Varsayılan,2026-05-08 17:45,False,False,False,True,1,1.1,0.14,1,-0.66,-2.0,neutral,1.86,1.5,1.4,2.16,low_liquidity,3,60,5.95,False,0.67,True,0.67,False,True,102.57,108.75,1000,3.33,1.37,0.5,0.0,0.0,58
KRT,28.1,2,True,True,0.358298,False,Varsayılan,2026-05-08 18:00,False,False,False,True,1,1.45,-4.32,1,-2.36,-7.6,neutral,2.36,1.5,1.4,3.0,low_liquidity,3,60,8.67,False,0.33,False,0.33,False,False,27.2,30.43,1000,2.6,3.19,0.5,0.0,0.0,51
PACB,1.41,2,False,False,0.029718,False,Varsayılan,2026-05-08 18:00,False,False,False,False,0,1.27,-10.76,1,-2.9,-14.55,bearish,2.04,1.5,2.0,2.06,high_liquidity,3,60,-4.81,False,0.0,False,0.17,False,False,1.34,1.6,1000,2.6,5.27,0.5,0.0,0.0,13
FEIM,62.47,2,True,True,0.823029,False,Varsayılan,2026-05-08 18:00,False,False,True,True,2,0.9,11.12,1,2.35,13.98,bullish,1.93,1.5,1.4,2.29,low_liquidity,3,60,22.37,True,1.0,True,0.67,False,True,61.24,66.59,1000,3.33,1.98,0.5,0.0,0.0,73
LWLG,15.705,1,True,True,0.344828,False,Varsayılan,2026-05-08 18:00,True,False,False,True,1,0.75,-6.07,5,-0.82,-3.47,neutral,2.24,1.5,2.0,2.4,high_liquidity,3,60,74.22,True,1.0,True,0.83,False,False,15.19,17.43,1000,3.33,3.29,0.5,0.0,0.0,58
GEVO,1.8175,2,False,False,0.027202,False,Varsayılan,2026-05-08 18:00,False,False,False,True,1,1.41,-13.04,1,-2.27,-10.47,neutral,2.35,1.5,2.0,2.58,high_liquidity,3,60,3.21,False,0.0,False,0.17,False,False,1.75,1.99,1000,2.6,3.74,0.5,0.0,0.0,24
