symbol,price,score,regime,direction,atr,entry_ok,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
SHOP,153.79,0,True,True,0.726022,False,2025-09-22 15:45,True,False,True,True,2,1.43,4.14,19.5,True,1.0,True,0.5,False,False,152.34,156.69,137,2.0,0.94
MARA,17.665,0,True,True,0.21782,False,2025-09-22 15:45,True,False,False,False,0,0.42,1.87,-0.2,False,0.67,False,0.33,False,False,17.23,18.54,459,2.0,2.47
SOFI,30.15,0,True,True,0.232602,False,2025-09-22 15:45,True,False,True,True,2,1.17,7.62,35.67,True,1.0,True,0.67,False,False,29.68,31.08,429,2.0,1.54
RIVN,14.9881,0,True,True,0.17192,False,2025-09-22 15:45,True,False,True,True,2,0.53,6.22,3.43,True,1.0,True,0.67,False,False,14.64,15.68,581,2.0,2.29
LCID,21.86,0,False,True,0.189429,False,2025-09-22 15:45,True,False,True,False,1,0.87,7.0,-11.58,False,0.67,True,0.67,False,False,21.48,22.62,527,2.0,1.73
MSTR,336.27,0,True,False,3.058927,False,2025-09-22 15:45,True,True,True,True,3,1.61,2.88,5.95,False,0.33,False,0.33,False,False,330.15,348.51,32,2.0,1.82
BNTX,97.775,0,False,False,0.585152,False,2025-09-22 15:45,True,False,False,False,0,0.23,-0.38,-0.66,False,0.33,True,0.5,False,False,96.6,100.12,170,2.0,1.2
UNH,341.9,0,False,True,1.735573,False,2025-09-22 15:45,True,False,False,False,0,0.78,-0.91,-18.3,False,0.67,True,0.83,False,False,338.43,348.84,57,2.0,1.02
MRNA,26.81,0,False,True,0.270163,False,2025-09-22 15:45,True,False,True,False,1,0.55,7.24,-27.39,False,0.67,True,0.67,False,False,26.27,27.89,370,2.0,2.02
PFE,24.535,0,True,True,0.100374,False,2025-09-22 15:45,True,False,True,False,1,0.7,2.02,0.22,True,1.0,True,0.83,False,False,24.33,24.94,996,2.0,0.82
JNJ,175.69,0,True,False,0.545026,False,2025-09-22 15:45,True,True,False,True,2,2.93,-0.15,7.2,False,0.33,False,0.33,False,False,174.6,177.87,183,2.0,0.62
LLY,760.5,0,False,True,3.205692,False,2025-09-22 15:45,True,False,False,False,0,0.32,0.05,-4.19,False,0.67,True,0.67,False,False,754.09,773.32,31,2.0,0.84
MRK,81.54,0,False,False,0.252945,False,2025-09-22 15:45,True,True,False,False,1,2.06,0.52,-5.35,False,0.33,True,0.5,False,False,81.03,82.55,395,2.0,0.62
ABBV,224.4183,0,True,True,0.68245,False,2025-09-22 15:45,True,False,False,True,1,0.28,1.63,7.4,True,1.0,True,0.5,False,False,223.05,227.15,146,2.0,0.61
DHR,191.3332,0,False,False,0.667151,False,2025-09-22 15:45,True,False,False,False,0,0.19,-0.83,-4.81,False,0.0,False,0.17,False,False,190.0,194.0,149,2.0,0.7
ISRG,441.875,0,False,False,1.698291,False,2025-09-22 15:45,True,False,False,False,0,0.29,1.89,-5.31,False,0.33,True,0.67,False,False,438.48,448.67,58,2.0,0.77
TMO,478.01,0,False,False,1.82489,False,2025-09-22 15:45,True,False,False,False,0,0.42,1.14,-1.97,False,0.0,False,0.17,False,False,474.36,485.31,54,2.0,0.76
CVS,74.89,0,True,True,0.35899,False,2025-09-22 15:45,True,False,False,True,1,0.22,1.2,8.56,True,1.0,True,0.5,False,False,74.17,76.33,278,2.0,0.96
BAC,52.145,0,True,True,0.129681,False,2025-09-22 15:45,True,False,False,True,1,0.21,1.45,8.58,True,1.0,False,0.17,False,False,51.89,52.66,771,2.0,0.5
JPM,312.735,0,True,True,1.006451,False,2025-09-22 15:45,True,False,False,True,1,0.27,0.3,11.12,True,1.0,False,0.33,False,False,310.72,316.76,99,2.0,0.64
GS,804.21,0,True,True,2.433583,False,2025-09-22 15:45,True,False,False,True,1,0.19,1.26,15.47,True,1.0,True,0.5,False,False,799.34,813.94,41,2.0,0.61
MS,160.17,0,True,True,0.508691,False,2025-09-22 15:45,True,False,False,True,1,0.23,1.75,12.3,True,1.0,False,0.33,False,False,159.15,162.2,196,2.0,0.64
SCHW,94.18,0,True,False,0.238412,False,2025-09-22 15:45,True,False,True,True,2,0.2,2.27,9.22,False,0.67,True,0.67,False,False,93.7,95.13,419,2.0,0.51
CVX,156.41,0,True,False,0.354127,False,2025-09-22 15:45,True,False,False,True,1,0.18,-2.3,3.64,False,0.33,True,0.5,False,False,155.7,157.83,282,2.0,0.45
XOM,112.05,0,True,True,0.258433,False,2025-09-22 15:45,True,False,False,False,0,0.28,-2.81,1.21,False,0.67,False,0.17,False,False,111.53,113.08,386,2.0,0.46
COP,91.98,0,False,False,0.273676,False,2025-09-22 15:45,True,False,False,False,0,0.21,-1.96,-1.96,False,0.0,False,0.33,False,False,91.43,93.07,365,2.0,0.6
DVN,33.8399,0,False,False,0.12432,False,2025-09-22 15:45,True,False,False,False,0,0.27,-4.43,-1.87,False,0.0,False,0.17,False,False,33.59,34.34,804,2.0,0.73
SLB,33.78,0,False,False,0.173935,False,2025-09-22 15:45,True,False,False,False,0,0.27,-2.9,-5.46,False,0.0,False,0.0,False,False,33.43,34.48,574,2.0,1.03
OXY,45.8145,0,False,False,0.162925,False,2025-09-22 15:45,True,False,False,False,0,0.31,-2.91,-2.12,False,0.0,False,0.17,False,False,45.49,46.47,613,2.0,0.71
EOG,115.92,0,False,False,0.344851,False,2025-09-22 15:45,True,False,False,False,0,0.22,-3.27,-0.51,False,0.0,True,0.5,False,False,115.23,117.3,289,2.0,0.59
EQT,48.925,0,False,False,0.25066,False,2025-09-22 15:45,True,False,False,True,1,0.22,-2.13,3.12,False,0.0,True,0.5,False,False,48.42,49.93,398,2.0,1.02
