symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
OKTA,225.63,0,True,True,4.902847,False,2025-09-15 17:30,False,False,False,0,0.48,0.61,12.58,False,0.5,True,0.5,False,False,215.82,245.24,20,2.0,4.35
ADBE,302.11,0,True,True,5.915054,False,2025-09-15 19:30,False,False,False,0,0.48,0.61,12.58,False,0.5,True,0.67,False,False,290.28,325.77,16,2.0,3.92
DDOG,1202.0,0,True,True,18.85679,False,2025-09-15 17:30,False,False,False,0,0.57,0.67,1.53,True,1.0,False,0.33,False,False,1164.29,1277.43,5,2.0,3.14
CRWD,1202.0,0,True,True,18.85679,False,2025-09-15 17:30,False,False,True,1,0.96,1.69,11.29,True,1.0,False,0.33,False,False,1164.29,1277.43,5,2.0,3.14
COIN,1202.0,0,True,True,18.85679,False,2025-09-15 17:30,False,False,True,1,0.96,1.69,11.29,True,1.0,False,0.33,False,False,1164.29,1277.43,5,2.0,3.14
FTNT,1202.0,0,True,True,18.85679,False,2025-09-15 17:30,False,False,True,1,0.96,1.69,11.29,True,1.0,False,0.33,False,False,1164.29,1277.43,5,2.0,3.14
MDB,302.11,0,True,True,11.790203,False,2025-09-15 17:30,False,False,True,1,0.96,1.69,11.29,True,1.0,True,0.5,False,False,278.53,349.27,8,2.0,7.81
ADP,1202.0,0,True,True,18.85679,False,2025-09-15 17:30,False,False,True,1,0.96,1.69,11.29,True,1.0,False,0.33,False,False,1164.29,1277.43,5,2.0,3.14
INTU,1202.0,0,True,True,18.85679,False,2025-09-15 17:30,False,True,True,2,1.21,5.2,12.81,True,1.0,True,0.67,False,False,1164.29,1277.43,5,2.0,3.14
ZS,364.3,0,True,True,9.368596,False,2025-09-15 17:30,False,True,True,2,1.21,5.2,12.81,True,1.0,True,0.5,False,False,345.56,401.77,10,2.0,5.14
TEAM,1202.0,0,True,True,18.85679,False,2025-09-15 17:30,False,True,True,2,1.21,5.2,12.81,True,1.0,True,0.67,False,False,1164.29,1277.43,5,2.0,3.14
SHOP,764.7,0,False,True,15.793042,False,2025-09-15 04:00,False,False,False,0,0.51,-0.01,-7.04,False,0.67,True,0.83,False,False,733.11,827.87,6,2.0,4.13
PANW,764.7,0,False,True,15.793042,False,2025-09-15 04:00,False,False,False,0,0.51,-0.01,-7.04,False,0.67,True,0.83,False,False,733.11,827.87,6,2.0,4.13
UBER,764.7,0,False,True,15.793042,False,2025-09-15 00:00,False,False,False,0,0.51,-0.01,-7.04,False,0.67,True,0.83,False,False,733.11,827.87,6,2.0,4.13
LCID,515.45,0,True,False,2.433321,False,2025-09-15 19:30,False,False,False,0,0.44,1.51,6.81,False,0.5,False,0.33,False,False,510.58,525.18,41,2.0,0.94
RIOT,764.7,0,True,True,15.793042,False,2025-09-15 04:00,False,False,True,1,0.93,-3.64,12.53,True,1.0,True,0.83,False,False,733.11,827.87,6,2.0,4.13
MRNA,251.61,0,False,True,5.862394,False,2025-09-15 04:00,True,False,False,1,2.79,-0.14,-1.63,False,0.33,True,0.67,False,False,239.89,275.06,17,2.0,4.66
SOFI,515.45,0,False,False,2.433321,False,2025-09-15 19:30,True,False,False,1,2.79,-0.14,-1.63,False,0.33,False,0.33,False,False,510.58,525.18,41,2.0,0.94
MSTR,177.749,0,False,True,4.799456,False,2025-09-15 04:00,False,False,False,0,0.96,1.91,-5.96,False,0.33,True,0.67,False,False,168.15,196.95,20,2.0,5.4
RIVN,515.45,0,False,False,2.433321,False,2025-09-15 19:30,False,False,False,0,0.96,1.91,-5.96,False,0.0,True,0.67,False,False,510.58,525.18,41,2.0,0.94
BNTX,251.61,0,False,False,5.862394,False,2025-09-15 00:00,False,True,False,1,0.8,3.35,-0.75,False,0.0,True,0.83,False,False,239.89,275.06,17,2.0,4.66
TMO,120.36,0,True,True,0.44176,False,2025-09-15 15:45,False,False,False,0,0.45,1.27,3.54,True,1.0,True,0.67,False,False,119.48,122.13,226,2.0,0.73
GS,81.0,0,True,True,2.362502,False,2025-09-15 00:00,False,False,True,1,0.81,0.48,6.26,True,1.0,True,0.83,False,False,76.27,90.45,42,2.0,5.83
ISRG,81.0,0,True,True,2.362502,False,2025-09-15 00:00,False,False,True,1,0.58,-0.18,3.74,True,1.0,True,0.83,False,False,76.27,90.45,42,2.0,5.83
MS,947.5375,0,False,True,3.440349,False,2025-09-15 19:45,False,False,False,0,0.48,0.08,-3.86,True,1.0,True,0.83,False,False,940.66,961.3,29,2.0,0.73
CVX,231.44,0,True,True,3.003426,False,2025-09-15 13:30,True,False,False,1,4.23,0.05,0.37,True,1.0,True,0.67,False,False,225.43,243.45,33,2.0,2.6
XOM,231.44,0,True,True,3.003426,False,2025-09-15 13:30,True,False,False,1,4.23,0.05,0.37,True,1.0,True,0.83,False,False,225.43,243.45,33,2.0,2.6
OXY,84.641,0,True,True,0.277749,False,2025-09-15 19:45,True,False,False,1,4.23,0.05,0.37,True,1.0,True,0.83,False,False,84.09,85.75,360,2.0,0.66
COP,84.641,0,False,True,0.277749,False,2025-09-15 15:45,True,False,False,1,3.6,0.02,-0.32,False,0.67,True,0.67,False,False,84.09,85.75,360,2.0,0.66
DVN,84.641,0,False,True,0.277749,False,2025-09-15 15:45,True,False,False,1,4.11,0.04,-0.88,False,0.33,True,0.83,False,False,84.09,85.75,360,2.0,0.66
EQT,276.19,0,False,False,0.94809,False,2025-09-15 19:45,False,False,False,0,1.07,0.9,-0.22,False,0.33,True,0.5,False,False,274.29,279.98,105,2.0,0.69
IWM,90.9,0,False,False,0.338709,False,2025-09-15 15:45,False,False,False,0,1.07,0.9,-0.22,False,0.0,True,0.5,False,False,90.22,92.25,295,2.0,0.75
MA,276.19,0,False,False,0.94809,False,2025-09-15 19:45,False,False,False,0,1.07,0.9,-0.22,False,0.33,True,0.5,False,False,274.29,279.98,105,2.0,0.69
PYPL,276.19,0,False,False,0.94809,False,2025-09-15 15:45,False,False,False,0,1.07,0.9,-0.22,False,0.33,True,0.5,False,False,274.29,279.98,105,2.0,0.69
XLK,90.9,0,True,False,0.338709,False,2025-09-15 15:45,True,False,False,1,2.37,-0.17,2.42,False,0.33,True,0.5,False,False,90.22,92.25,295,2.0,0.75
DIA,90.9,0,True,False,0.338709,False,2025-09-15 19:45,True,False,False,1,2.37,-0.17,2.42,False,0.33,True,0.5,False,False,90.22,92.25,295,2.0,0.75
XLV,290.91,0,True,True,0.626206,False,2025-09-15 15:45,True,False,False,1,3.39,0.14,0.92,True,1.0,True,0.5,False,False,289.66,293.41,159,2.0,0.43
XLE,326.98,0,True,True,1.721599,False,2025-09-15 15:45,False,False,False,0,0.86,0.6,3.58,True,1.0,True,0.67,False,False,323.54,333.87,58,2.0,1.05
XLC,326.98,0,True,False,1.721599,False,2025-09-15 15:45,False,False,False,0,0.8,0.45,3.4,False,0.5,True,0.67,False,False,323.54,333.87,58,2.0,1.05
SMH,651.34,0,False,False,2.36891,False,2025-09-15 19:45,True,False,False,1,1.83,-0.42,0.39,False,0.33,True,0.67,False,False,646.6,660.82,42,2.0,0.73
