date,symbol,close,rsi,macd_hist,atr,ema50,ema200,regime,direction,score,filter_score,volume_spike,price_momentum,trend_strength,momentum_score,entry_ok,strategy_tag,stop_loss,take_profit,tp1,tp2,tp3,risk_reward,stop_loss_pct,reco_score,reco_strength
2025-12-24,PH,886.1085205078125,62.76,-2.1986,15.3681,834.7,745.44,True,True,0,1,False,False,True,48,False,Defansif 🛡️,847.69,986.0,955.27,986.0,,2.6,4.34,6.057,33
2025-12-26,PH,886.427978515625,62.87,-2.0128,14.7217,836.73,746.84,True,True,0,1,False,False,True,48,False,Defansif 🛡️,849.62,982.12,952.68,982.12,,2.6,4.15,6.046,33
2025-12-29,PH,888.893310546875,63.82,-1.7859,14.1785,838.77,748.26,True,True,0,1,False,False,True,49,False,Defansif 🛡️,853.45,981.05,952.7,981.05,,2.6,3.99,6.008,33
2025-12-30,PH,887.1665649414062,62.62,-1.8084,13.7882,840.67,749.64,True,True,0,1,False,False,True,48,False,Defansif 🛡️,852.7,976.79,949.21,976.79,,2.6,3.89,6.005,33
2025-12-31,PH,877.324951171875,56.13,-2.4999,13.9127,842.11,750.91,True,True,0,1,False,False,True,44,False,Defansif 🛡️,842.54,967.76,939.93,967.76,,2.6,3.96,5.978,33
2026-01-02,PH,892.3169555664062,62.5,-1.9839,14.2471,844.08,752.31,True,True,0,1,False,False,True,48,False,Defansif 🛡️,856.7,984.92,956.43,984.92,,2.6,3.99,6.034,33
2026-01-05,PH,905.2029418945312,66.95,-0.8681,14.9534,846.47,753.84,True,True,0,1,False,False,True,51,False,Normal 📈,875.3,987.45,957.54,987.45,1017.35,2.75,3.3,6.029,33
2026-01-06,PH,927.0322875976562,72.83,1.138,16.1226,849.63,755.56,True,True,2,2,True,False,True,84,True,Sniper 🎯,902.85,1007.65,975.4,1007.65,1056.01,3.33,2.61,10.113,55
2026-01-07,PH,906.7001953125,61.8,0.9037,17.0735,851.87,757.06,True,True,0,2,True,False,True,78,False,Sniper 🎯,881.09,992.07,957.92,992.07,1043.29,3.33,2.82,7.956,43
2026-01-08,PH,904.78369140625,60.87,0.4506,17.205,853.95,758.53,True,True,0,1,False,False,True,77,False,Sniper 🎯,878.98,990.81,956.4,990.81,1042.42,3.33,2.85,5.999,33
2026-01-09,PH,919.2767333984375,65.16,0.9303,17.6537,856.51,760.13,True,True,0,1,False,False,True,80,False,Sniper 🎯,892.8,1007.55,972.24,1007.55,1060.51,3.33,2.88,6.032,33
2026-01-12,PH,927.2119140625,67.28,1.5489,17.5384,859.28,761.8,True,True,0,1,False,False,True,81,False,Sniper 🎯,900.9,1014.9,979.83,1014.9,1067.52,3.33,2.84,6.045,33
2026-01-13,PH,936.6043701171875,69.63,2.3116,17.1391,862.31,763.53,True,True,0,1,False,False,True,82,False,Sniper 🎯,910.9,1022.3,988.02,1022.3,1073.72,3.33,2.74,6.07,33
2026-01-14,PH,934.4684448242188,68.43,2.3836,16.8567,865.14,765.24,True,True,0,1,False,False,True,81,False,Sniper 🎯,909.18,1018.75,985.04,1018.75,1069.32,3.33,2.71,5.995,33
2026-01-15,PH,942.8228759765625,70.57,2.6831,16.6358,868.19,767.0,True,True,0,1,False,False,True,83,False,Sniper 🎯,917.87,1026.0,992.73,1026.0,1075.91,3.33,2.65,6.084,33
2026-01-16,PH,942.513427734375,70.38,2.5503,16.4264,871.1,768.75,True,True,1,1,False,False,True,83,False,Sniper 🎯,917.87,1024.65,991.79,1024.65,1073.92,3.33,2.61,6.999,38
2026-01-20,PH,927.7609252929688,61.8,1.226,16.7695,873.33,770.33,True,True,1,1,False,False,True,78,False,Sniper 🎯,902.61,1011.61,978.07,1011.61,1061.92,3.33,2.71,6.969,38
2026-01-21,PH,943.531494140625,66.5,1.1695,17.2308,876.08,772.05,True,True,1,1,False,False,True,80,False,Sniper 🎯,917.69,1029.69,995.22,1029.69,1081.38,3.33,2.74,7.034,38
2026-01-22,PH,937.522705078125,63.31,0.518,17.1143,878.49,773.7,True,True,0,1,False,False,True,79,False,Sniper 🎯,911.85,1023.09,988.87,1023.09,1074.44,3.33,2.74,5.987,33
2026-01-23,PH,926.263671875,57.71,-0.8085,17.4846,880.36,775.22,True,True,0,1,False,False,True,45,False,Defansif 🛡️,882.55,1039.91,1004.94,1039.91,,2.6,4.72,5.965,33
2026-01-26,PH,931.3142700195312,59.44,-1.446,16.9979,882.36,776.77,True,True,0,1,False,False,True,46,False,Defansif 🛡️,888.82,1041.8,1007.8,1041.8,,2.6,4.56,5.976,33
2026-01-27,PH,924.2474365234375,55.99,-2.388,16.8083,884.0,778.24,True,True,0,1,False,False,True,44,False,Defansif 🛡️,882.23,1033.5,999.88,1033.5,,2.6,4.55,5.972,33
2026-01-28,PH,914.5654907226562,51.57,-3.6331,16.6764,885.2,779.6,True,True,1,2,True,False,True,42,False,Defansif 🛡️,872.87,1022.96,989.61,1022.96,,2.6,4.56,8.939,49
